Date,Network,GSM Register Attempt,GPRS Register Attempt,GSM Register Success,GPRS Register Success,GSM Success Ratio (%),GPRS Success Ratio (%),GSM Avg Register Roamers,GPRS Avg Register Roamers,GSM Out of Total Roamer(%),GPRS Out of Total Roamer(%),Country
2014-02-18,IDEA - Karnataka,183,25,4,0,0.02185792349726776,0.0,7,0,1.0843634786380394E-4,0.0,INDIA,
2014-02-18,IDEA - Kerala,581,134,496,53,0.8537005163511188,0.39552238805970147,333,4,0.00515847197694953,1.5099467743762032E-4,INDIA,
2014-02-18,IDEA - Kolkata,19,0,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,IDEA - Madhya Pradesh,66,146,44,137,0.6666666666666666,0.9383561643835616,39,3,6.041453666697648E-4,1.1324600807821524E-4,INDIA,
2014-02-18,IDEA - Maharashtra/Goa,584,220,247,149,0.4229452054794521,0.6772727272727272,89,7,0.0013786907085540788,2.6424068551583556E-4,INDIA,
2014-02-18,IDEA - Mumbai,721,72,213,49,0.29542302357836336,0.6805555555555556,56,5,8.674907829104315E-4,1.887433467970254E-4,INDIA,
2014-02-18,IDEA - North East,50,0,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,IDEA - Orissa,7,1,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,IDEA - Punjab,866,70,34,16,0.03926096997690531,0.22857142857142856,3,2,4.6472720513058835E-5,7.549733871881016E-5,INDIA,
2014-02-18,IDEA - Rajasthan,18,1,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,IDEA - Tamil Nadu,1091,62,810,41,0.7424381301558204,0.6612903225806451,250,1,0.0038727267094215696,3.774866935940508E-5,INDIA,
2014-02-18,IDEA - UP East,81,8,1,0,0.012345679012345678,0.0,1,0,1.5490906837686278E-5,0.0,INDIA,
2014-02-18,IDEA - UP West,6200,39,5,4,8.064516129032258E-4,0.10256410256410256,2,1,3.0981813675372557E-5,3.774866935940508E-5,INDIA,
2014-02-18,IDEA - West Bengal,19,0,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,MTNL - Mumbai,263,0,1,0,0.0038022813688212928,0.0,1,0,1.5490906837686278E-5,0.0,INDIA,
2014-02-18,Reliance Telecom - Madhya Pradesh,2345,967,3,20,0.001279317697228145,0.020682523267838676,3,3,4.6472720513058835E-5,1.1324600807821524E-4,INDIA,
2014-02-18,Tata Indicom - Andhra Pradesh,463,71,452,0,0.9762419006479481,0.0,74,0,0.0011463271059887845,0.0,INDIA,
2014-02-18,Tata Indicom - Bihar,21,0,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Tata Indicom - Gujarat,208,79,192,20,0.9230769230769231,0.25316455696202533,25,1,3.8727267094215695E-4,3.774866935940508E-5,INDIA,
2014-02-18,Tata Indicom - Haryana,131,9,104,3,0.7938931297709924,0.3333333333333333,11,1,1.7039997521454907E-4,3.774866935940508E-5,INDIA,
2014-02-18,Tata Indicom - Himachal Pradesh,2,0,2,0,1.0,0.0,1,0,1.5490906837686278E-5,0.0,INDIA,
2014-02-18,Tata Indicom - Karnataka,510,76,339,38,0.6647058823529411,0.5,91,2,0.0014096725222294514,7.549733871881016E-5,INDIA,
2014-02-18,Tata Indicom - Kerala,200,4,200,0,1.0,0.0,33,1,5.111999256436472E-4,3.774866935940508E-5,INDIA,
2014-02-18,Tata Indicom - Kolkata,27,26,27,22,1.0,0.8461538461538461,9,1,1.394181615391765E-4,3.774866935940508E-5,INDIA,
2014-02-18,Tata Indicom - Madhya Pradesh,92,66,80,0,0.8695652173913043,0.0,10,1,1.5490906837686277E-4,3.774866935940508E-5,INDIA,
2014-02-18,Tata Indicom - Maharashtra,692,15,84,0,0.12138728323699421,0.0,32,0,4.957090188059609E-4,0.0,INDIA,
2014-02-18,Tata Indicom - Mumbai,625,102,263,39,0.4208,0.38235294117647056,48,2,7.435635282089414E-4,7.549733871881016E-5,INDIA,
2014-02-18,Tata Indicom - Orissa,34,18,34,17,1.0,0.9444444444444444,12,3,1.8589088205223534E-4,1.1324600807821524E-4,INDIA,
2014-02-18,Tata Indicom - Punjab,113,30,111,0,0.9823008849557522,0.0,27,0,4.182544846175295E-4,0.0,INDIA,
2014-02-18,Tata Indicom - Tamil Nadu,1639,110,1483,0,0.9048200122025626,0.0,439,0,0.0068005081017442764,0.0,INDIA,
2014-02-18,Tata Indicom - UP East,45,1,45,0,1.0,0.0,11,0,1.7039997521454907E-4,0.0,INDIA,
2014-02-18,Tata Indicom - UP West,35,4,35,0,1.0,0.0,11,0,1.7039997521454907E-4,0.0,INDIA,
2014-02-18,Tata Indicom - West Bengal,20,0,20,0,1.0,0.0,2,0,3.0981813675372557E-5,0.0,INDIA,
2014-02-18,Uninor - Andhra Pradesh,0,10,0,10,0.0,1.0,0,1,0.0,3.774866935940508E-5,INDIA,
2014-02-18,Uninor - Bihar,0,0,0,0,0.0,0.0,0,2,0.0,7.549733871881016E-5,INDIA,
2014-02-18,Uninor - Gujarat,0,8,0,8,0.0,1.0,0,5,0.0,1.887433467970254E-4,INDIA,
2014-02-18,Uninor - Maharashtra,0,4,0,2,0.0,0.5,0,2,0.0,7.549733871881016E-5,INDIA,
2014-02-18,Uninor - UP West,0,0,0,0,0.0,0.0,0,2,0.0,7.549733871881016E-5,INDIA,
2014-02-18,Vodafone (IND) - Delhi,9368,956,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Vodafone (IND) - Gujarat,0,0,0,0,0.0,0.0,6,0,9.294544102611767E-5,0.0,INDIA,
2014-02-18,Vodafone (IND) - Kerala,6349,411,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Vodafone (IND) - Kolkata,3342,351,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Vodafone (IND) - Maharashtra/Goa,4179,506,0,0,0.0,0.0,1,0,1.5490906837686278E-5,0.0,INDIA,
2014-02-18,Vodafone (IND) - Mumbai,24920,5143,188,674,0.007544141252006421,0.1310519152245771,67,25,0.0010378907581249806,9.437167339851271E-4,INDIA,
2014-02-18,Vodafone (IND) - Tamil Nadu,60872,1583,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
